title,author,googlebooks_id1,googlebooks_id2,googlebooks_id3,googlebooks_id4,googlebooks_id5
The Time Traveler's Wife,Audrey Niffenegger,tgd_AwAAQBAJ,JMabpwAACAAJ,e_5RPgAACAAJ,qVx_QgAACAAJ,qbJvDwAAQBAJ
A Game of Thrones,George R.R. Martin,72aHpwAACAAJ,gd7UCwAAQBAJ,JPDOSzE7Bo0C,i9PvStUdWz8C,i_SorqUvsOEC
"Eat, Pray, Love",Elizabeth Gilbert,QdCNeNx6LJUC,2xvTCwAAQBAJ,EbquUB1D6B8C,g9jznAEACAAJ,8Y3MmgEACAAJ
The Lightning Thief,Rick Riordan,IQKqlAEACAAJ,ku9TsH3M1-YC,MpC3_SuCss4C,BVb5AQAAQBAJ,kr09DwAAQBAJ
Little Women,Louisa May Alcott,z3E7DAAAQBAJ,wRUCAAAAQAAJ,UiNxxQEACAAJ,hQbEDAAAQBAJ,8cj0DAEACAAJ
Jane Eyre,Charlotte Brontë,JuA0AAAAMAAJ,DUbmZH8Tok0C,lg7HSeJ5XcEC,8Ip4AgAAQBAJ,uGctDwAAQBAJ
The Notebook,Nicholas Sparks,Z1asAAAACAAJ,065FvgAACAAJ,dxFdtAEACAAJ,CkF0AwAAQBAJ,M9tARpafXOIC
Life of Pi,Yann Martel,A16NdR8h-4AC,N-pVxoDBX_gC,5EaM4mRPiLEC,RmkhNOzuV5YC,8rcPogEACAAJ
Water for Elephants,Sara Gruen,ZwF5ngEACAAJ,Y166_ZZgxFIC,CCr4vQAACAAJ,g1-TtAEACAAJ
The Book Thief,Markus Zusak,HdAbAgAAQBAJ,XbPVAQAAQBAJ,01EZAwAAQBAJ,U2x-zQEACAAJ,I84JlgEACAAJ
Fahrenheit 451,Ray Bradbury,OYtkbGl2j0sC,Ii4xwxU2PYsC,Q2QotAEACAAJ,HXeODwAAQBAJ,1ScUAQAAMAAJ
New Moon,Stephenie Meyer,Ab-c_4vHZuIC,Fl9A5RGLMZwC,Va9oBgAAQBAJ,B84lAgAAQBAJ,A1BrPwAACAAJ
Where the Sidewalk Ends,Shel Silverstein,PjE8cAAACAAJ,CexKswEACAAJ,fmiuK_hWBN8C
City of Bones,Cassandra Clare,Gf5wCgAAQBAJ,7PHHMQEACAAJ,rUiJmQEACAAJ,smdbmQEACAAJ,mwgpeq5PSgQC
Eclipse,Stephenie Meyer,bEjboR018YYC,4f-HQgAACAAJ,KBHsQgAACAAJ,woP2OgAACAAJ,L5XvCgAAQBAJ
Eragon,Christopher Paolini,fgwN_pHnNtAC,-Fx8SHQ3Qz8C,wHbNPQAACAAJ,FAy2wAEACAAJ,UB3H_qRStIEC
The Hitchhiker's Guide to the Galaxy,Douglas Adams,pLroAQAACAAJ,DWe0kgEACAAJ,3gRUPwAACAAJ,NvwqK-KEWbwC,-9w1DwAAQBAJ
Brave New World,Aldous Huxley,3M8jBQAAQBAJ,2qfACwAAQBAJ,rEvEwAEACAAJ,3h9eNAyQWzAC,DaOfPwAACAAJ
Breaking Dawn,Stephenie Meyer,mwjZoQEACAAJ,9gsItwAACAAJ,6f03uQAACAAJ,IvwlAgAAQBAJ,w-GSwwEACAAJ
The Secret Life of Bees,Sue Monk Kidd,FiIXot_e10sC,_5z8ywEACAAJ,ZUVVYgEACAAJ,a5_O93S8vgoC,gURKAAAAQBAJ
The Adventures of Huckleberry Finn,Mark Twain,O1FnDwAAQBAJ,7bU4AAAAMAAJ,k5e3TSKRsWUC,WBtXzQEACAAJ,AFgZAAAAYAAJ
Charlotte's Web,E.B. White,bQKCBgAAQBAJ,pylJbfNIwoIC,GorAQgAACAAJ,VXFmvQEACAAJ,y9c4tAEACAAJ
The Curious Incident of the Dog in the Night-Time,Mark Haddon,JVtkyM29ezYC,NcVLAQAAQBAJ,578_bYv48SYC,EoUbQwAACAAJ,XR1hPgAACAAJ
The Girl on the Train,Paula Hawkins,DvoDDAAAQBAJ,1b2bBwAAQBAJ,mkuDAQAACAAJ,IUeyBgAAQBAJ,AZixuQEACAAJ
The Golden Compass,Philip Pullman,y2fegIqAcDIC,0Rs8k52GmGkC,4Q72DAAAQBAJ,eEgzDwAAQBAJ,hX44DwAAQBAJ
Wuthering Heights,Emily Brontë,KhMYAAAAYAAJ,LhsGAAAAQAAJ,s4nbaPVkq1wC,m2EXUwYYDEQC,C47uBQAAQBAJ
My Sister's Keeper,Jodi Picoult,XcK37rn5pigC,558QOSmHwhEC,_9UvqSFWBmMC
Slaughterhouse-Five,Kurt Vonnegut Jr.,Gc_SLksZVB4C,3eMPieo3xRcC,_qWdxgEACAAJ,5039zAEACAAJ,r1KNvgEACAAJ
Gone with the Wind,Margaret Mitchell,2ubIDwAAQBAJ,ocBhuAEACAAJ,udm6weAen1AC,D5g0uAEACAAJ,ZQUouAEACAAJ
A Thousand Splendid Suns,Khaled Hosseini,3vo0NQbIN2YC,EVVvNwAACAAJ,khGKMAEACAAJ,uDfkyfBvpOAC,0cvWDgAAQBAJ
The Perks of Being a Wallflower,Stephen Chbosky,pK0X5FyUs28C,zRvyawoY72MC,90uLBgAAQBAJ
Insurgent,Veronica Roth,gmQ2kgEACAAJ,zbb5IK4dzvsC,yYAlAAAAQBAJ,RXJdAAAAQBAJ,6OpQrgEACAAJ
Ender's Game,Orson Scott Card,jaM7DwAAQBAJ,IZDWAAAAQBAJ,KZwTAYoKNyIC,5r6JrgEACAAJ,Xa9IAQAAQBAJ
Frankenstein,Mary Wollstonecraft Shelley,c2NVAAAAcAAJ,tLNSDwAAQBAJ,_mmw-ofzWQMC,GxR5IDHGdacC,fmofAQAAIAAJ
The Shining,Stephen King,vUZoxITGufkC,VuDSnQEACAAJ,rVYYygEACAAJ,UKYDogEACAAJ,dEocBAAAQBAJ
The Host,Stephenie Meyer,50bgmKq-BQ0C,ufeIvgEACAAJ,96OA2Sb5MrsC,yVGYpwAACAAJ,gsiHQ55cKOsC
Looking for Alaska,John Green,gqNh4EbiFh0C,oMXQBAAAQBAJ,aeZDDwAAQBAJ,OAb-4f8tBvUC,XOeODwAAQBAJ
Bridget Jones's Diary,Helen Fielding,DHZj__OrAwgC,rim-zQEACAAJ,wNhVygEACAAJ,RazNDAAAQBAJ,ZZxt3E_lrRUC
Sense and Sensibility,Jane Austen,3FkUf4Vd6sAC,Em75jKwE09IC,I13Lt-5sHkQC,FT0mCAAAQBAJ,l35ILnpHDhEC
Holes,Louis Sachar,FlTUhH_oisIC,LDRoswEACAAJ,vq6owwEACAAJ,5RXFoAEACAAJ,3HL2NwAACAAJ
The Devil Wears Prada,Lauren Weisberger,i7weTA29ke4C,0IHRI9Yj-REC,KUCgzQEACAAJ,AbZUwgEACAAJ,YfBcPgAACAAJ
The Odyssey,Homer,3bsmCwAAQBAJ,000bAAAAYAAJ,mjFfDwAAQBAJ,biBRxQmHPLIC,zZfVq1fhhvoC
The Little Prince,Antoine de Saint-Exupéry,CQYg20lTHtMC,dc5eDwAAQBAJ,i-V1swEACAAJ,kwyOrgEACAAJ,p77tAAAACAAJ
The Glass Castle,Jeannette Walls,BTMknk-qvacC,zjdhtAEACAAJ,D2X0c2nXBKMC
Into the Wild,Jon Krakauer,m9BiDwAAQBAJ,i9xqzQEACAAJ,2RYr8zuJCCUC
A Tale of Two Cities,Charles Dickens,YqfPAAAAMAAJ,5EIPAAAAQAAJ,s_poeXrlaykC,nWvu2k0i3pgC,y5otzQEACAAJ
Jurassic Park,Michael Crichton,V5s14nks9I8C,Q2877pdHhwUC,jv6GYd4cOogC,ORKITeQogWIC,4V__ewEACAAJ
The Giving Tree,Shel Silverstein,1IleAgAAQBAJ,D3lxPgAACAAJ,6lWRzQEACAAJ,VXWIPwAACAAJ,kNiezQEACAAJ
A Time to Kill,John Grisham,mJFKWggAnkMC,agHRDwAAQBAJ,AfVlPQAACAAJ,5HamtwAACAAJ,_6OXvgEACAAJ
Night ,Elie Wiesel,mRTCswEACAAJ,n-tnngEACAAJ,5QgsDgAAQBAJ,VUjdAwAAQBAJ,-cKBlQEACAAJ
Paper Towns,John Green,MLacAgAAQBAJ,7UtFDwAAQBAJ,M7RvtAEACAAJ,_4cIAAAAQAAJ,_PaonvunjjAC
The Princess Bride,William Goldman,ebW2JpsaOxkC,VapaAAAAMAAJ,D1vjMgEACAAJ,wmRi-ecIRJkC,NxViQgAACAAJ
The Outsiders,S.E. Hinton,4M-_QQAACAAJ,soH1vgEACAAJ,1FQ8DQAAQBAJ,CgpTzQEACAAJ,WAagKwp08Z0C
The Maze Runner,James Dashner,yo5GBAAAQBAJ,2-naCwAAQBAJ,GoEiDQAAQBAJ,XY9GBAAAQBAJ,W45GBAAAQBAJ
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,66Dm4p1wxqUC,p9XrAAAAMAAJ,tRkwtAEACAAJ,ZsOLxgEACAAJ,VgvfBQAAQBAJ
The Secret Garden,Frances Hodgson Burnett,ksZjgcLnIjgC,7FG4nO15udkC,HPMOKl9A67wC,1U5ODwAAQBAJ,sxHdAwAAQBAJ
One Hundred Years of Solitude,Gabriel García Márquez,DDbtj7RHVdEC,N3BekQEACAAJ,jD51PAAACAAJ,NdtGNCK69WQC,7o1fQgAACAAJ
The Picture of Dorian Gray,Oscar Wilde,WfxrfuDUAYgC,ZEcuBwAAQBAJ,UOUJHoPLfLgC,pO5BBAAAQBAJ,YUWDvQEACAAJ
Fifty Shades Freed,E.L. James,LMPNswEACAAJ,TwMpCAAAQBAJ,L_Ezefjbzc4C,GPhhvgEACAAJ,RARcvgEACAAJ
Dracula,Bram Stoker,ArNnwDGH1fQC,dAjwtAEACAAJ,NTQROAAACAAJ,geFgAQAAQBAJ,qgH23bD3S6sC
The Girl Who Played with Fire,Stieg Larsson,tRXhsoI7W6EC,60khEvov1U8C,GiPztwEACAAJ,gn5DZBU65HcC,AZ5J6B1-4BoC
Fifty Shades Darker,E.L. James,GPhhvgEACAAJ,KBbXcF9LDhoC,L_Ezefjbzc4C,9oFeJoZQOPQC,EhCJDQAAQBAJ
The Poisonwood Bible,Barbara Kingsolver,Q69PhJN-TbwC,Og2wNAEACAAJ,GmLANAEACAAJ,sQnPNAEACAAJ,dj_vPAAACAAJ
Me Talk Pretty One Day,David Sedaris,MPNS0j-kGwcC,kXvuoQEACAAJ,8tz2PQAACAAJ,fzaSzQEACAAJ,LalxGcoOiewC
Where the Wild Things Are,Maurice Sendak,M-CocWLBGB4C,BTSdPwAACAAJ,Iwu5YTKq-8IC,UsW1PwAACAAJ,UzrgAAAACAAJ
The Count of Monte Cristo,Alexandre Dumas,zoYqAAAAYAAJ,dfdBBAAAQBAJ,rcF1WbVt1mwC,3UsaAwAAQBAJ,RyEEAAAAQAAJ
The Road,Cormac McCarthy,VcZtDwAAQBAJ,ZqRSxwEACAAJ,CgYwD2MdhDEC,eYIsAQAAQBAJ,pWOwDgAAQBAJ
Allegiant,Veronica Roth,JzMnBgAAQBAJ,v5MH3ER4SWEC,AA86jgEACAAJ,6s_qLDNW0kwC,66x1CAAAQBAJ
Bossypants,Tina Fey,2WQBMnXue5IC
A Walk to Remember,Nicholas Sparks,YcgaN_Gk9w4C,0PfsozpteMsC,SquEmRGaluEC,gOEkLwAACAAJ
Confessions of a Shopaholic,Sophie Kinsella,_s77LJerxjUC
Les Misérables,Victor Hugo,L-zB7KAZV9AC,mShCBAAAQBAJ,E18Bom4aEnIC,-48GAAAAQAAJ,rElCDAAAQBAJ
A Clash of Kings ,George R.R. Martin,QesFxQEACAAJ,rqBucUyKrfMC,yXSMDwAAQBAJ,XY6EDwAAQBAJ,FuvRDwAAQBAJ
The Memory Keeper's Daughter,Kim Edwards,FOuSQwAACAAJ,kbsS6ls2ujYC,fE_kPQAACAAJ,Hb1O5bLmNAEC
Me Before You,Jojo Moyes,HPXUwgEACAAJ,XEACDAAAQBAJ,yjNQDAAAQBAJ,6e3uAQAACAAJ,sV9AzAEACAAJ
Catch-22,Joseph Heller,Xfze51E7TEoC,TG1BAAAAIAAJ,7jyt-oH1tScC,WR649ZidDU8C,P8aWDwAAQBAJ
Tuesdays with Morrie,Mitch Albom,oyD1du2dQhAC,JLQR1ZZQKigC,RSWRzQEACAAJ,E0FZvgAACAAJ
Middlesex,Jeffrey Eugenides,Bzg8AAAAIAAJ,YGdVe1yOuQ8C,b23TAgAAQBAJ,XthwkQEACAAJ,yAsAIQAACAAJ
The Adventures of Tom Sawyer,Mark Twain,oesY8xj9DCoC,raFmzlUhNwUC,HAjEDAAAQBAJ,1ppmzQEACAAJ,t9RxDgAAQBAJ
