title,author,googlebooks_id1,googlebooks_id2,googlebooks_id3,googlebooks_id4,googlebooks_id5
Partials,Dan Wells,P0XMoAEACAAJ,wqFXaN_e5XMC,bRyOAwAAQBAJ,x8uKAgAAQBAJ,pTn-AAAAQBAJ
The Worst Hard Time: The Untold Story of Those Who Survived the Great American Dust Bowl,Timothy Egan,np1RwDQfpjsC
What She Left Behind,Ellen Marie Wiseman,XVgVAgAAQBAJ
Wicked,Sara Shepard,1vEZTwEACAAJ,RUoGRKHPJnUC,kg8f2OkvW6kC,iaC8uAAACAAJ,MaeTmwEACAAJ
Transfer of Power,Vince Flynn,Gd24H39VwBcC,g6IsDwAAQBAJ
Ariel,Sylvia Plath,C3ntgXQCLg4C,6vCanQEACAAJ,PftPAAAACAAJ
"Batman, Volume 1: The Court of Owls",Scott Snyder,ZfmrAAAAQBAJ,5KAoLgEACAAJ,Qf-rAAAAQBAJ,PuwpvgAACAAJ,UlKdyAEACAAJ
Practical Demonkeeping,Christopher Moore,Eqn2nVgvVKoC
The Last Templar,Raymond Khoury,tk_yBEA4KsgC,v84aDAAAQBAJ,0AQNkAEACAAJ,ms4aDAAAQBAJ,ygImDwAAQBAJ
Official Book Club Selection: A Memoir According to Kathy Griffin,Kathy Griffin,Uo3WVGPDiHIC
The Book of Laughter and Forgetting,Milan Kundera,hux47U4KMREC,_Rq_yERPljsC,IPiDPwAACAAJ,CerOL15TSvIC,kOS8oQEACAAJ
The Horse Whisperer,Nicholas Evans,m4eLDr-IrjoC,Iuu_AQAACAAJ,LTnMsad_u-4C,jT5EPgAACAAJ,PE53nJcigosC
Why Men Love Bitches: From Doormat to Dreamgirl—A Woman's Guide to Holding Her Own in a Relationship,Sherry Argov,n2aZDgAAQBAJ
Wanted,Sara Shepard,09zesA-WHkYC,OnwitlRUMRcC,4cRbONyb_1IC,V5beYaNSRpkC,yKgQBQAAQBAJ
The Outlaw Demon Wails,Kim Harrison,3XBLfHZmDDYC,4UldwA4zlwAC,3wa_oQEACAAJ,FPDOHB9uoEAC,VqTZnQEACAAJ
Flatland: A Romance of Many Dimensions,Edwin A. Abbott,R6E0AAAAMAAJ,6ypSUDDd1LkC,4xiyEqfqh88C,a-PcDwAAQBAJ,iIhjDwAAQBAJ
The Diviners,Libba Bray,vw5tzQEACAAJ,YnzhECzg68MC,M_51DgAAQBAJ,Ds27DwAAQBAJ,9a40ywEACAAJ
The Spectacular Now,Tim Tharp,UZFIBAAAQBAJ,BgUTMQAACAAJ
The Art of Loving,Erich Fromm,XEKtAwAAQBAJ,OljYDwAAQBAJ,3YB9AAAAMAAJ,Dvt7S9fOFRcC,QGit6bbnGLEC
Gregor and the Code of Claw,Suzanne Collins,qpZIBAAAQBAJ,N9iIwY2LvVsC,ADiAzQEACAAJ,O5ZIBAAAQBAJ,_rMlz_mEJlAC
Eric,Terry Pratchett,lvPmf7gzc1wC,JYJYAQAAQBAJ,iqMcwWlgGnIC,SVaJQwAACAAJ
A Game of You,Neil Gaiman,kfKKDwAAQBAJ,Ae7jAAAAQBAJ,Jc4GugEACAAJ,KMAKtgEACAAJ,FI0AxQEACAAJ
The Other Side of the Story,Marian Keyes,zA2RjS6K7HMC,T9ysKWvSgL0C,dhjXCQn08QcC,bRwEDu7buIgC,CrxPDgAAQBAJ
Beach Music,Pat Conroy,IznJD-d7wPUC
An Echo in the Darkness,Francine Rivers,JBCqNY9UGYgC
The Kiss of Deception,Mary E. Pearson,kMzDoAEACAAJ,jvt-BwAAQBAJ,_p3YBQAAQBAJ,INg2vgAACAAJ,0d8VBQAAQBAJ
Tai-Pan,James Clavell,OFNuDwAAQBAJ,GcKzzQEACAAJ,Q_SaPAAACAAJ,373jDwAAQBAJ,jtoNtwAACAAJ
The Weird Sisters,Eleanor Brown,gfQ-DAAAQBAJ,tRjwCgAAQBAJ
The Truth,Terry Pratchett,yvrC50EegOAC,HU4HTwEACAAJ,w0qxB3o3PhEC,ZCKoQgAACAAJ,rIUUbB8g9O4C
The Leftovers,Tom Perrotta,rDG2riT-WawC,ZZdPAAAAQBAJ,XR4pCwAAQBAJ,tDHJB0b5oV4C
Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi,tSD3tgEACAAJ,QVjPsd1UukEC,Jak4A8rEZawC,cL4_BAAAQBAJ,s-3uDQAAQBAJ
Dragons of Winter Night,Margaret Weis,Z405wdhI_RkC,Mhl8XwAACAAJ,Fpu3wwEACAAJ,Hq6CCgAAQBAJ,IJwqHQAACAAJ
Unbearable Lightness: A Story of Loss and Gain,Portia de Rossi,i352L03hNqQC
Mine Till Midnight,Lisa Kleypas,M443K3bMLS0C
All the President's Men,Carl Bernstein,6MYYI_LNfWsC,1F9c3QDjKv8C,U9tOXiErWUEC
Wolfsbane,Andrea Cremer,ZjTgDwAAQBAJ,EgefZwEACAAJ,vX82YAAACAAJ
The Mill on the Floss,George Eliot,JAV-AwAAQBAJ,5iaGzQEACAAJ,O03DDAAAQBAJ,IRPKywEACAAJ,L4UrW1yHLiEC
Super Sad True Love Story,Gary Shteyngart,dkG23PnEXIkC,qa9RAQAAQBAJ
The Blue Sword,Robin McKinley,7J67CwAAQBAJ,FxPNBAAAQBAJ,9RPNBAAAQBAJ,XCUXzAEACAAJ,HjyUAAAACAAJ
Lover at Last,J.R. Ward,gj84DwAAQBAJ,fUbonQEACAAJ
Vampire Academy: The Ultimate Guide,Michelle Rowen,Hf63kiNElJoC
Surprised by Joy: The Shape of My Early Life,C.S. Lewis,xrf9CwAAQBAJ,3BldzQEACAAJ,4ls9YgEACAAJ
"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,grzEQgAACAAJ,cI1qwgEACAAJ
Trickster's Queen,Tamora Pierce,cd78iGTlpSAC,ff6vGeiq8r8C,gH5zAwAAQBAJ
The Poetry of Robert Frost,Robert Frost,IquAy631jDgC,iK-TDgAAQBAJ,amUdiZLtBJcC,lvYDyQEACAAJ,y3_GxPnBbI4C
Freak the Mighty,Rodman Philbrick,H-m_BgAAQBAJ,YazDngEACAAJ,KX47DwAAQBAJ
This Is What Happy Looks Like,Jennifer E. Smith,sn33gHXNmRMC,52jmN7OSFMYC
What's So Amazing About Grace?,Philip Yancey,HjyxLas0U7YC,dhSLMAEACAAJ,LcKpzQEACAAJ,9HDwDwAAQBAJ,I7FMlqINw54C
Kill Shot,Vince Flynn,elEk8hRc7s4C,eKE_DQAAQBAJ,iSgsDwAAQBAJ,2i98Wf4aO8kC
The Plains of Passage,Jean M. Auel,_IrcRgAACAAJ,08qPf0Y3zeYC,GyInAAAACAAJ,c0tZiRdkvt4C,l22PPwAACAAJ
Hard Luck,Jeff Kinney,Wpo8MQAACAAJ,lSFAAAAAQBAJ,eo9KzQEACAAJ,NXFAAQAAQBAJ,GelJAAAAQBAJ
The Bookseller of Kabul,Åsne Seierstad,NSFACgAAQBAJ,NvZ2aSV8utoC,S6kdxZABmnkC
The Merchant of Death,D.J. MacHale,SqrXuRRJp3IC,FnXoocP4-1sC,PXhjon8MXycC,lvYsjgIstIYC,2zrDMvGAR_kC
The City & the City,China Miéville,-mk5rOctXtEC,3o57NbjApJkC,UmX6KitqPskC,loqI9l3mQIsC,JSdBCxwvFYIC
Fatal Voyage,Kathy Reichs,UD8Ty5i4AmAC,jBVOewAACAAJ
Magic Strikes,Ilona Andrews,LzGne5Di0pQC,6LYrbEYSbtcC,DoEI3Xi2d3wC,kx8vDkY5ly0C
My Favorite Mistake,Chelsea M. Cameron,T9HLr0rwHmwC,OXhyDQAAQBAJ,2hRwDQAAQBAJ,fnZyDQAAQBAJ,HAOwCgAAQBAJ
Airport,Arthur Hailey,p59aAAAAMAAJ,h6LJvQEACAAJ,z2DcvQEACAAJ,zjtuxwEACAAJ,WvPsvQEACAAJ
Angel,James Patterson,oBq9qUttcEcC,2p2YVoonkxUC,zAwVaWGXQucC,xL3dzAEACAAJ,75VM46JXOFQC
Ramona the Brave,Beverly Cleary,9Ez5vvjp45QC,Ob4_mxpKw4oC,yRsGE3giZmgC,ozWEAwAAQBAJ,mWCIz4DVgqIC
The Last Command,Timothy Zahn,JbPaDwAAQBAJ,r5GX6xxTT4IC,CxlI28iJtIEC,27LaDwAAQBAJ,TNGhQQAACAAJ
The Emperor's Soul,Brandon Sanderson,qX3EIx-p0wYC,sCo5mzryY-4C,C1k5BAAAQBAJ,6uv-CwAAQBAJ,WePsBgAAQBAJ
Just After Sunset,Stephen King,3833y1SEHG4C,6CyLvgEACAAJ,7yN6ngEACAAJ
Sold,Patricia McCormick,5zbSDwAAQBAJ
Double Cross,James Patterson,3FjNLcKL90gC,kEE9vgAACAAJ
Eugene Onegin,Alexander Pushkin,Ri18AAAAIAAJ,OrPoDwAAQBAJ,gyIXPkGTGowC,qRm2uYhcF1IC,RZ7WDwAAQBAJ
These Broken Stars,Amie Kaufman,GTXSDwAAQBAJ,3DsxCwAAQBAJ,JdbvDAAAQBAJ,stSIDwAAQBAJ,OkiPDQAAQBAJ
Eon: Dragoneye Reborn,Alison Goodman,OaxTO_HpyYEC
The View from Saturday,E.L. Konigsburg,CQ46EGuOGugC,p3TjlwEACAAJ,3-LyvQAACAAJ,MYkON1_FgIwC,QZXKB9e9oqEC
Hidden,P.C. Cast,og_3h88jn5wC,xaS2uAAACAAJ,pARSwgEACAAJ,eaXBlAEACAAJ
Spell Bound,Rachel Hawkins,uR4x1mcYB24C,5pbJLgEACAAJ
The Secret of the Old Clock,Carolyn Keene,6V85xSHXwsQC,tJhI1Pt-IWcC,fTYXLPR6UD0C,KVPeJwAACAAJ,dDJIMR4-RE0C
Plum Island,Nelson DeMille,0AqLlhQNLQcC,qiDtoQEACAAJ,0HffAAAACAAJ,g4DzcQAACAAJ
The Story of Doctor Dolittle,Hugh Lofting,s16Yt3VLJOEC,4h-OzQEACAAJ,ZMzWwwEACAAJ,7Ka1tCuCSe8C,WXisswEACAAJ
Second Glance,Jodi Picoult,GppbVtasA7MC
Frog and Toad Together,Arnold Lobel,tSalBAAAQBAJ,Qblk6xogACsC,9wc9BAAAQBAJ,YMeBzQEACAAJ,J3UpzAEACAAJ
The Lottery,Shirley Jackson,9sJ3GaAn0ToC,nCCxvgEACAAJ,fRh2aEh3ZfMC,iQwqPoseGDYC,TmZiswEACAAJ
Big Stone Gap,Adriana Trigiani,DhhUDwAAQBAJ,4lqaDwAAQBAJ,WBhUDwAAQBAJ,2fuPPQAACAAJ,CXOrDQAAQBAJ
The Alexandria Link,Steve Berry,usU2-yyHqSEC,zXh-N2xV9pAC,OV6WBgAAQBAJ,DPVMBAAAQBAJ,2F5T5T9ILDYC
The Gathering,Kelley Armstrong,gf9hmsUWTvIC,_f5LAgAAQBAJ,Q5FJ4maPWQMC,EYBiDoFGwhoC,etMe0EOBg4AC
The Fiery Heart,Richelle Mead,KUUigJzTFnIC,yfynwC7i2PoC,dLAcogEACAAJ,Gf6-MQEACAAJ,kv4aBQAAQBAJ
Magic Bleeds,Ilona Andrews,d62JDQAAQBAJ
The Japanese Lover,Isabel Allende,LITRCgAAQBAJ,VUM7DwAAQBAJ,IMwoCwAAQBAJ,DhTXCwAAQBAJ
Jingo,Terry Pratchett,XtZJnwEACAAJ
Kiss of Midnight,Lara Adrian,bQW-0zK8Iv8C,AL-eBAAAQBAJ,WutVLwEACAAJ
Sons and Lovers,D.H. Lawrence,y7p6DwAAQBAJ,-lOAUHZn-qMC,vKFml4x6GW8C,EkHuAQAACAAJ,HBKKDwAAQBAJ
A Woman of Substance,Barbara Taylor Bradford,bu8j4hQX2M0C,PTSpYgEACAAJ,YtN9BAAAQBAJ,g_e1xba2I4sC,1Ne_DwAAQBAJ
Crash,Nicole  Williams,0i8ys_j6cEsC,IVhNAgAAQBAJ,EaO9AwAAQBAJ,vuiOPIBjHCsC,adZNbNrlbN4C
The Hit,David Baldacci,uT7MoQEACAAJ,QidNfHzmeeIC,1D7lOvz5ob0C,_Hd0tgEACAAJ,EuZxCgAAQBAJ
Count Zero,William Gibson,4y2KCwAAQBAJ,k8sWCAAAQBAJ
Peony in Love,Lisa See,mXluenOevnQC
Twenty Boy Summer,Sarah Ockler,o_GzoQEACAAJ
Rich Dad's Cashflow Quadrant: Rich Dad's Guide to Financial Freedom,Robert T. Kiyosaki,T5mj8kpvtj8C,2gWeHAAACAAJ,0GcrQwAACAAJ,DxNqPAAACAAJ,G3HTwAEACAAJ
The Ice Princess,Camilla Läckberg,-_UNV7y3nJIC,4MgsTY02_NkC,kFEQtQEACAAJ,bqSn4oyIkMoC,AyxPP2gu6EYC
Bookends,Jane Green,QC1mDJokihsC
Maude,Donna Foley Mabry,UAqaswEACAAJ,OwXYDwAAQBAJ
The Last Colony,John Scalzi,FepG-qOd33sC,f0tOCgAAQBAJ,1GU5BgAAQBAJ,Uz3nMnT4hGsC,VLFIu1ZwRKQC
If You Take a Mouse to School,Laura Joffe Numeroff,bFGe_3gN_CAC,cpwFwQEACAAJ,xOVWSdqfR70C
Finding Cinderella,Colleen Hoover,ddExAQAAQBAJ,5sA8DwAAQBAJ,EVxmzQEACAAJ
Last Chance Saloon,Marian Keyes,fbICuG73rJMC,DRPMAAAACAAJ,oBcnAQAACAAJ
Beauty from Pain,Georgia Cates,v2UqvgAACAAJ,3iDVAwAAQBAJ,6H5aBAAAQBAJ
Where Are the Children?,Mary Higgins Clark,yoMGjxpvZAIC,_e3yqR0Atf8C,AJ_NBAAAQBAJ,U8VbwgEACAAJ
The Hero and the Crown,Robin McKinley,FxPNBAAAQBAJ,9RPNBAAAQBAJ,7J67CwAAQBAJ,HjyUAAAACAAJ,tcpIwwEACAAJ
The Metamorphosis and Other Stories,Franz Kafka,3d67AQAAQBAJ,6CqbOjTB7z8C,3dk3caLJR4cC,u2IPAAAACAAJ,kju5vAdFkJUC
The Space Between Us,Thrity Umrigar,FD0HlSfsjWQC,S8UvDwAAQBAJ,hqfcngEACAAJ,TYcSBz_H5-oC,QGN-YjvS4ywC
Three Men in a Boat,Jerome K. Jerome,YdA9CQAAQBAJ,k6BI7EsW1T0C,lIr7y_HChJoC,1uZBBAAAQBAJ,A1eSDwAAQBAJ
Desert Solitaire,Edward Abbey,lkhMtksYyhYC,1VZBDwAAQBAJ,EogfrgEACAAJ
Plum Lovin',Janet Evanovich,ZUXXwSQ6OnoC,A9f1jwEACAAJ,JfPIBAAAQBAJ
Another Roadside Attraction,Tom Robbins,wWSTqfRuM70C
Sarum: The Novel of England,Edward Rutherfurd,NSOmHCYJrjcC
Rage of Angels,Sidney Sheldon,JgMssDRz1WgC,mFQUuQEACAAJ,4UJ7AAAACAAJ
Vampire Academy Box Set,Richelle Mead,ryNZPgAACAAJ,Hf63kiNElJoC,8FswGzEr26QC,aXexDgAAQBAJ,zYj5AQAAQBAJ
Everlasting,Alyson Noel,5p-4nQEACAAJ,QJEkt2uJMqsC,NzSxzQEACAAJ,Hw1HXwAACAAJ
A Shade of Vampire,Bella Forrest,VmIexwEACAAJ,Bm9vvgAACAAJ,HXi4twEACAAJ,GFHFtAEACAAJ,WGx3vgEACAAJ
The Right Stuff,Tom Wolfe,PTdeDwAAQBAJ,RRxZzQEACAAJ,7V6fY8LHTBkC,mItZAAAAMAAJ,YjdeDwAAQBAJ
Cocktails for Three,Madeleine Wickham,H57FAUJrzlUC,LbEEswEACAAJ
Vanish,Tess Gerritsen,VyR_kTMvkFYC
"Fluke: Or, I Know Why the Winged Whale Sings",Christopher Moore,cMPuAQAACAAJ,kdSkshe64PwC
The Tell-Tale Heart,Edgar Allan Poe,z_DwDwAAQBAJ,qlGMCwAAQBAJ,5L_2DQAAQBAJ,w6YOtQEACAAJ,x2fsMwEACAAJ
Girl in Translation,Jean Kwok,Wa17uAAACAAJ,6zIbCAAAQBAJ
Panic,Lauren Oliver,xXfqAQAAQBAJ,CDg5DwAAQBAJ
Because of Low,Abbi Glines,l8S1AwAAQBAJ,98IxCAAAQBAJ,LJlWDwAAQBAJ
Leonardo's Notebooks,Leonardo da Vinci,PRQaCgAAQBAJ,a8TBvL8OY78C,1mCBiu2yFUgC,olKgMjwLQr8C,fMDoImNWqHQC
Between Sisters,Kristin Hannah,MQfdDQAAQBAJ,kVFlswEACAAJ
Wayward,Blake Crouch,4Cr7nAEACAAJ,nF6dDAAAQBAJ,YSkhCgAAQBAJ,-rRnvgAACAAJ,6l-dDAAAQBAJ
Queste,Angie Sage,jupOK7fFhqAC,l6NBuwEACAAJ,zCtQAgAAQBAJ
Finding Audrey,Sophie Kinsella,uPTdBAAAQBAJ,Vk_2DwAAQBAJ
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",Mollie Katzen,Cv5jAAAACAAJ,PU2olELAY3AC
Fox in Socks,Dr. Seuss,5fY9DwAAQBAJ,n7w4DwAAQBAJ,hJHEEgX0akoC,o48tMgAACAAJ
My Name Is Red,Orhan Pamuk,mPnybXXPJeQC,JwzcCQAAQBAJ,6JboGAAACAAJ,ESyeCgAAQBAJ
The Teachings of Don Juan: A Yaqui Way of Knowledge ,Carlos Castañeda,C3dxDwAAQBAJ,OXrWAAAAMAAJ,P4kAIAAACAAJ,j81kvgEACAAJ
The Sixth Man,David Baldacci,JKj73ufoUkwC,X0vmoAEACAAJ,7Zk3AQAAQBAJ,Nma8DwAAQBAJ
Stone Soup,Marcia Brown,uOOQN_Ox5zEC,g0eUPQAACAAJ
The Warrior Heir,Cinda Williams Chima,g89Sw-7ubH0C,PWm7DLtyOBMC,KRhqBAAAQBAJ,R-laN94Kr0AC,mE0d89jGH3MC
Top Secret Twenty-One,Janet Evanovich,R4eODQAAQBAJ,jc2YBwAAQBAJ
Death: The High Cost of Living,Neil Gaiman,6TJyzQEACAAJ,5XnXOAAACAAJ,G0gJxAEACAAJ,uenPAQAAQBAJ,z2R9tAEACAAJ
Christy,Catherine Marshall,bOvX0bmPC5EC,tm1WmwNJ5D4C,D6yRj7pxbpoC,opd2SQePKccC,8Kyn-CHhWCIC
Destroy Me,Tahereh Mafi,kasvAgAAQBAJ
Gone,Lisa Gardner,YVyJat87yOMC,3OD3CAAAQBAJ
Mindset: The New Psychology of Success,Carol S. Dweck,Pff9Xzpsj4oC,S8uMAQAACAAJ,ckoKDQAAQBAJ,NPo2swEACAAJ,0wWFswEACAAJ
Beyond the Grave,Jude Watson,u8wlmlOa6IAC,sCHungEACAAJ,aVNBtgEACAAJ,ytvGvgEACAAJ,QHlHwAEACAAJ
The Problem of Pain,C.S. Lewis,n5ONfyO5yBUC,moajvgEACAAJ,JHcrDAAAQBAJ,Gd-dDAAAQBAJ,GZp3bZmMa2wC
"Nudge: Improving Decisions About Health, Wealth, and Happiness",Richard H. Thaler,dSJQn8egXvUC,IjCNYgEACAAJ,D_LuDwAAQBAJ
The Dark Is Rising,Susan Cooper,WGdhvUo6tDYC,9n4VQwAACAAJ,xRjUMgEACAAJ,HFq84vV920gC,8mCkj1XG_fcC
Purity,Jonathan Franzen,cT94BwAAQBAJ,09VZtAEACAAJ
The Door to December,Richard Paige,3tZ57ZWt4FIC
Four Blind Mice,James Patterson,xmLtmpAgETkC
True Colors,Kristin Hannah,nX5KDwAAQBAJ,z-VLvQEACAAJ
Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets,Nassim Nicholas Taleb,DCqFYOrGyegC
Labyrinth,Kate Mosse,_hNaygAACAAJ,_O7lNAEACAAJ
Founding Brothers: The Revolutionary Generation,Joseph J. Ellis,lsPztgGkYYgC
Forward the Foundation,Isaac Asimov,u9JwFh4xVLoC
Saphirblau,Kerstin Gier,aatHDgAAQBAJ,IOlHDgAAQBAJ,Lri9DwAAQBAJ,eylcAQAACAAJ,rbiUoAEACAAJ
"Going Clear: Scientology, Hollywood, and the Prison of Belief",Lawrence Wright,ANOejwEACAAJ,E5Gt_U3Tx08C
"Twilight: The Graphic Novel, Vol. 1",Young Kim,yUqKxQEACAAJ,3RAaYAAACAAJ
The French Lieutenant's Woman,John Fowles,bQT-1VUxmUcC,t_R0RAAACAAJ,kDUZtwAACAAJ,UETmEs-5vLkC,HGVP1zjE1p4C
The Rime of the Ancient Mariner,Samuel Taylor Coleridge,BNfUWwIxLJkC,BOhMNAEACAAJ,aA4mDwAAQBAJ,AU5ODwAAQBAJ,C9p2xwEACAAJ
The Paper Bag Princess,Robert Munsch,9TT1RAAACAAJ,XoXkswEACAAJ,vpaGwwEACAAJ,_pBnAQAACAAJ,5lw0NwAACAAJ
Tortilla Flat,John Steinbeck,9uOgPwAACAAJ,7XvQxQEACAAJ,ftUeAAAAIAAJ,LdxYPwAACAAJ,3rSdzQEACAAJ
King Solomon's Mines,H. Rider Haggard,O3WINOfqYr0C,VjabDAEACAAJ,9sa_zQEACAAJ,1xCTzQEACAAJ,Log6CgAAQBAJ
Love Unrehearsed,Tina Reber,P0CU5DvlA0IC,fXDqqzofpjEC
Brief Lives,Neil Gaiman,JoojugEACAAJ,cezjAAAAQBAJ,8E_GoAEACAAJ,tJuRDwAAQBAJ,RQ4mxQEACAAJ
Nightfall,L.J. Smith,beZW6cUDKLQC,mMqqPTN_7MwC
The People of Sparks,Jeanne DuPrau,MptZK0eT8TkC,_FMKDQAAQBAJ,5BvqRQAACAAJ,LD8lswEACAAJ,7Zv-n-nmdKMC
Narcissus and Goldmund,Hermann Hesse,43HGbacBDQgC,Ew8NvwEACAAJ,2vDivQEACAAJ
Fables & Reflections,Neil Gaiman,8VI0DQAAQBAJ,Zvt_Kb2M34gC,M0GHLC_oo2UC,K7XwvvIfXh4C,2AvtDwAAQBAJ
The Bone Season,Samantha Shannon,m0XCDAAAQBAJ,kFfPDwAAQBAJ,Sn0UeDF1LqsC,h-jsDwAAQBAJ,oTF3CgAAQBAJ
Little Dorrit,Charles Dickens,UNKT3AklbLsC,5ZPWDwAAQBAJ,dDZzug-nT3kC,dagmAQAAMAAJ,f4IaAwAAQBAJ
Eagle Strike,Anthony Horowitz,cowsGdDdgx8C,vchAjgEACAAJ,kHg7DwAAQBAJ,CwmmBAAAQBAJ,ADa0swEACAAJ
Valley of the Dolls,Jacqueline Susann,ojarCQAAQBAJ,wzoFDAAAQBAJ,vkELtAEACAAJ,-eTSXwAACAAJ
The Source,James A. Michener,5MpTHkStChsC,iiiJDAAAQBAJ,sTLTCwAAQBAJ,Qb_ZCwAAQBAJ,by5PAgAAQBAJ
You Shall Know Our Velocity!,Dave Eggers,IksaBkm34ZUC
ثلاثية غرناطة,رضوى عاشور,ev1KDAAAQBAJ
We're Going on a Bear Hunt,Michael Rosen,RVXrugAACAAJ,gxgnswEACAAJ,YYR6rgEACAAJ,h6UHjwEACAAJ,yfNlmwEACAAJ
Vampire Academy Collection,Richelle Mead,ryNZPgAACAAJ,av02AgAAQBAJ,8Vh9vgEACAAJ,Hf63kiNElJoC,aXexDgAAQBAJ
Guardians of the West,David Eddings,nG5t_vRTAYgC,bZd3vgEACAAJ
The Search,Nora Roberts,XlxEL2OAq1MC,6dr2z6c0NzIC,LlvOPAAACAAJ,SUgNrgEACAAJ,mU5LPgAACAAJ
Honeymoon,James Patterson,oS3rS55v_TMC,CgMC13TAVTsC,d-Xi6XIeCiYC,1at4jwEACAAJ,lRTexgEACAAJ
Pandora's Star,Peter F. Hamilton,3oCh1qVL7j4C
How to Eat Fried Worms,Thomas Rockwell,O3u4EeA0a2oC,wHEkDAAAQBAJ,km_KXwAACAAJ,MpVEHQAACAAJ,3oy3BAAACAAJ
The Raven and Other Poems,Edgar Allan Poe,ZdWSmAEACAAJ,4sSqzQEACAAJ,_jJEYgEACAAJ,X7a8qMVH9tMC,ZZ7WDwAAQBAJ
The Weight of Silence,Heather Gudenkauf,74nACwAAQBAJ,R1BFDwAAQBAJ,mEbDCAAAQBAJ
Trigger Warning: Short Fictions and Disturbances,Neil Gaiman,jE-NBQAAQBAJ,TbECoQEACAAJ
Lincoln,David Herbert Donald,lTQSlhUUEOQC,4JsrtHTWy_YC,FkN_CwAAQBAJ,i5qkzQEACAAJ,yH2kQ1eIT1YC
Magic Burns,Ilona Andrews,DoEI3Xi2d3wC,6LYrbEYSbtcC,LzGne5Di0pQC,p7OVDgAAQBAJ,qRmnuAEACAAJ
The Quiet American,Graham Greene,C8VQDwAAQBAJ,jp1aAAAAMAAJ,p7fNPAAACAAJ,E7taDwAAQBAJ,aXQqAAAAMAAJ
The Proposition,Katie Ashley,Oe35kgEACAAJ,-63YswEACAAJ,3FGglwEACAAJ,HlMsDAAAQBAJ,nFjJDwAAQBAJ
Cause of Death,Patricia Cornwell,f8ZaPTO945oC,Q4nWwgEACAAJ
Master and Commander,Patrick O'Brian,8hrdDR1L7YUC,1rrJDT9jnMYC,HaEdbjUalUEC,GuKgxgEACAAJ,cgWYDwAAQBAJ
"Dragon Ball, Vol. 1: The Monkey King",Akira Toriyama,Kbg_zQEACAAJ,RXnwAQAAQBAJ,MqdWDwAAQBAJ,ESJexgEACAAJ,6al-A6dU7GYC
Revelation Space,Alastair Reynolds,QIcSojmQT4UC,aEtJMQAACAAJ,ycO9DwAAQBAJ,mxsmPQAACAAJ,i6HPAAAACAAJ
Private,James Patterson,7asxDwAAQBAJ,_bJzblJpMqgC,4aBuN1sveLkC,JlO7DAAAQBAJ,ARuLMbqWUP0C
Wicked Appetite,Janet Evanovich,YdYC2VaileMC
Tales from a Not-So-Fabulous Life,Rachel Renée Russell,gbOEygEACAAJ,tJWWtwAACAAJ,PXz3xQEACAAJ
A Hunger Like No Other,Kresley Cole,oE0KDD-Uj60C,iXF_oa-2cSYC,b7rrg2exoN4C,SWZ4FCf3LiQC,KwK8YgEACAAJ
A Million Suns,Beth Revis,KRxJKjftRQwC
The High Lord,Trudi Canavan,59LlRAAACAAJ,ej3dRAAACAAJ,9uHHmP5DZM8C,1T6WAAAACAAJ,S7EBZ0wlc70C
The Valley of Amazement,Amy Tan,9tDMgZwIZY4C,2mgnEzzaJrIC,wyeutAEACAAJ,CJsd1OU_Pf0C,2oU2DgAAQBAJ
Three Weeks With My Brother,Nicholas Sparks,WzWX12AyuvUC
The High King,Lloyd Alexander,vHqWBQAAQBAJ,tniWBQAAQBAJ,AHmWBQAAQBAJ,zJiWBQAAQBAJ,dEH1xwEACAAJ
Die for Me,Amy Plum,LnWdBAAAQBAJ,PI-7bpSfaowC,nnmJzrkzxmEC,OkPBUgFTzE8C,uFwW_XGMpE0C
Gift from the Sea,Anne Morrow Lindbergh,AVB_EYYPIi4C,eKrcu5utmRUC,6t-tvgEACAAJ,Vx0uAAAAMAAJ
Confessions of an Economic Hit Man,John Perkins,nJFFrLX-924C,8WvgCgAAQBAJ,O31NvgAACAAJ
Ficciones,Jorge Luis Borges,qZpbQ2PgnPIC,7vUfapNfESkC,fBFmAAAAMAAJ,mOASAAAAYAAJ,HKS6NwAACAAJ
Winter Prey,John Sandford,opxPs4257tAC
The Complete Short Stories of Ernest Hemingway,Ernest Hemingway,IE6vAAAAIAAJ,MG3QxwEACAAJ,sXV1QgAACAAJ,61BQ5JD_NCEC,QjgiXnMHHtIC
Dandelion Wine,Ray Bradbury,a6nrXI2XxVoC,5tzsGwAACAAJ
The Mummy,Anne Rice,I9n126K6j6QC,uDoH98pXM3oC,ADM3DgAAQBAJ,Yl_1nQEACAAJ,z2B-KvhMSxgC
Switch: How to Change Things When Change Is Hard,Chip Heath,XmzbeoN-KZ0C
Trail of Broken Wings,Sejal Badani,iM3QoQEACAAJ
The Collector,John Fowles,UETmEs-5vLkC,QUTAngEACAAJ,kDUZtwAACAAJ,t1KzIyDzed4C,b3j3tSdixtIC
Fairest,Gail Carson Levine,VPbTjnqNDZYC
The Orchardist,Amanda Coplin,R-XgYsuOobIC
"One Summer: America, 1927",Bill Bryson,kI-n6fWpq98C
